Trans Ref,0 - MERCHANT,1 - MERCHANT THIRD PARTY,2 -CREDO,3 - CREDO THIRD PARTY,4 - PROCESSOR,5 - STAMP DUTY,Settled Amount,Fee Amount,Fee Diff,Expected Credo commision
AlRq008zqb02CrFA820B,14950,,322.5,70,,50,15000,322.5,70,252.5
H5pa00tt7t02oEF9821Y,26850,38100,197.5,106,125,50,65000,322.5,106,91.5
zzwm00F8O402ytgf829I,56850,38100,197.5,106,125,50,95000,322.5,106,91.5
C0hF00UKFw02ChM9828a,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
fHIj00uJA702aZp262U6,77950,,700,460,,50,78000,700,460,240
J9qt00vtB7021wEX82EU,64950,,197.5,106,125,50,65000,322.5,106,91.5
v3ts00zuqe04y6i0515M,5000,,,359.16,43.34,,5000,350,52.5,-52.5
PeQ900Npqb020XTz8286,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
GMEO00kAj01203XX66BE,7000,,112.5,437.5,,,7000,450,100,12.5
R7j7009N7C02WFcP622l,9750,,700,460,,50,9800,700,460,240
PpCA0016DI02cpGA82gB,54270,36180,197.5,106,125,50,90500,322.5,106,91.5
b18V008RYv01SY0q8288,39950,,500,275,,50,40000,500,275,225
UsVW00kw9r04ZO1b511c,104950,,,402.5,,50,105000,350,52.5,-52.5
c9L2009y34011ADL71Sz,21650,,300,160,,50,21700,300,160,140
UGbh00ob0l026s5682l1,,14950,198.39,70,124.11,50,15000,322.5,70,128.39
Vtmr00QXLx023O5482Qa,6900,6050,197.5,106,125,50,13000,322.5,106,91.5
FT0L00kFBn010JtC71Kx,3100,,300,160,,,3100,300,160,140
V29b001iB812I7c666k5,10950,,138.91,516.72,94.37,50,11000,650,100,38.91
tZNA000G3501b9pL824k,243450,,500,275,,50,243500,500,275,225
q9Y700ZMjk06WV8A5320,12750,,590.65,460,109.35,50,12800,700,460,130.65
wqnv0061cD01quJD82jw,29950,,500,275,,50,30000,500,275,225
SQf600AE0q02smeO82CA,104950,57500,197.5,106,125,50,162500,322.5,106,91.5
OBbm008Mn406y65153nO,20250,,700,460,,50,20300,700,460,240
hGxk000Q9A02Qc0k82S6,,9950,197.5,106,125,50,10000,322.5,106,91.5
eCue00w2nk02kqJX62Lp,74950,,575,460,125,50,75000,700,460,115
B98g00auKH01ucPN82YT,3000,,500,275,,,3000,500,275,225
kyEc00XREm02vfz277Sa,51950,,300,45,,50,52000,300,45,255
sYsP00Sz1G020tyd82ly,70470,46980,197.5,106,125,50,117500,322.5,106,91.5
CWPA0043HO02E41282YE,70470,46980,197.5,106,125,50,117500,322.5,106,91.5
h2yK00R4Zd02ZBaD82y7,70470,46980,197.5,106,125,50,117500,322.5,106,91.5
PVhF00HLKy02rQO882KQ,6900,6050,214.59,106,107.91,50,13000,322.5,106,108.59
Ao0Y00Sra801BQij82d1,113450,,500,275,,50,113500,500,275,225
L9lz00q50I029aeR8214,,39950,322.5,70,,50,40000,322.5,70,252.5
iWEo00Yx9702I09b82xX,58470,38980,197.5,106,125,50,97500,322.5,106,91.5
Zz800069Fw02QQmG62HD,119950,,575,460,125,50,120000,700,460,115
Dd8e00Xu1G020V6Y82BP,,9950,238.89,70,83.61,50,10000,322.5,70,168.89
zCqJ002V2502UI0t77H9,51650,,300,45,,50,51700,300,45,255
G0UP00ME8701Lp3T82Yq,5000,,500,275,,,5000,500,275,225
ILC200MSBI02TZsn77zZ,39650,,300,45,,50,39700,300,45,255
j4y600187s01UW2M82cO,113450,,500,275,,50,113500,500,275,225
bLyO000CDT02Ic66823C,108570,72380,197.5,106,125,50,181000,322.5,106,91.5
KeD800T3T401ld4N82Fr,55950,,500,275,,50,56000,500,275,225
U6yT00lqyd023QX2628L,119950,,575,460,125,50,120000,700,460,115
ZUgp001KO4027CEw821C,,14950,322.5,70,,50,15000,322.5,70,252.5
FWmq005rWZ029t0G82DJ,,9950,238.89,106,83.61,50,10000,322.5,106,132.89
cVFd00l9Kd01l7C882l3,113450,,500,275,,50,113500,500,275,225
q44R0051xP00c7X512IO,14950,,375,245,125,50,15000,500,245,130
WwV500HxO902EafT82Bc,72570,48380,197.5,106,125,50,121000,322.5,106,91.5
r1GF00w7cc02AilG82VD,,99950,197.5,70,125,50,100000,322.5,70,127.5
zBXT0018v2027R158253,14950,,322.5,70,,50,15000,322.5,70,252.5
myx400485902J3yX827b,13250,84700,322.5,70,,50,98000,322.5,70,252.5
PEmV00LpXf02oc4G82Nt,8170,6780,198.39,106,124.11,50,15000,322.5,106,92.39
RJNt002MrU02p1bp77QH,79650,,300,45,,50,79700,300,45,255
zQdP00UEgY02mmoR82lg,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
ujv500jtRQ01zrSW82Ef,113450,,500,275,,50,113500,500,275,225
D4e700PNLm02CT3O77mg,79650,,300,45,,50,79700,300,45,255
Tm40006h7502fQlu82SA,,74950,197.5,70,125,50,75000,322.5,70,127.5
UWh000Ge5602t71D773s,24650,,300,45,,50,24700,300,45,255
r8ru00hN2c00yR9v12G2,14950,,375,245,125,50,15000,500,245,130
UkYH00wubQ04CbjD51cy,108950,,,402.5,,50,109000,350,52.5,-52.5
U3O300k70z02QsmG82KT,,14950,198.39,106,124.11,50,15000,322.5,106,92.39
k8MQ0061Zb025Qwm625W,107950,,700,460,,50,108000,700,460,240
iIFD00hWS602alut62ZS,77950,,575,460,125,50,78000,700,460,115
iA6s008CYj02r8BC82He,24370,95580,322.5,106,,50,120000,322.5,106,216.5
Wuhk00B2Ks00pt7x12PY,14950,,375,245,125,50,15000,500,245,130
