role_id,permission_id,status,authorized,created_by,created_date,last_modified_by,last_modified_date,version
292,121,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
292,122,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
292,127,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
292,128,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
292,131,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
292,132,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
285,155,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
285,156,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
285,157,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
285,158,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
285,159,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
285,160,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
285,161,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
285,162,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
285,163,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
285,164,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
285,165,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
285,166,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
285,167,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
285,168,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
285,169,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
